org_id,org_name,students,address,grades
PS418,Otter Creek Academy at Leicester Sudbury and Whiting,110,"31 SCHOOLHOUSE ROAD, SUDBURY, VT, 05733",elementary
PS219,Otter Valley Union High School,554,"2997 FRANKLIN STREET, BRANDON, VT, 05733","middle, high"
PS220,Oxbow UHSD #30,294,"36 OXBOW DRIVE, BRADFORD, VT, 05033","middle, high"
PS223,Peacham Elementary School,66,"340 BAILEY HAZEN ROAD, PEACHAM, VT, 05862",elementary
PS224,Peoples Academy,263,"202 COPLEY AVENUE, MORRISVILLE, VT, 05661",high
PS394,Peoples Academy Middle School,258,"202 COPLEY AVENUE, MORRISVILLE, VT, 05661","elementary, middle"
PS227,Porters Point School,492,"490 PORTERS POINT RD, COLCHESTER, VT, 05446",elementary
PS229,Poultney Elementary School,256,"96 SCHOOL CIRCLE, POULTNEY, VT, 05764",elementary
PS230,Poultney High School,195,"154 EAST MAIN STREET, POULTNEY, VT, 05764","middle, high"
PS231,Pownal Elementary School,260,"94 SCHOOLHOUSE ROAD, POWNAL, VT, 05261",elementary
PS232,Proctor Elementary School,164,"14 SCHOOL STREET, PROCTOR, VT, 05765",elementary
PS233,Proctor Junior/Senior High School,111,"4 PARK STREET, PROCTOR, VT, 05765","middle, high"
PS409,Prosper Valley School,77,"1071 POMFRET RD, SO POMFRET, VT, 05067",elementary
PS234,Putney Central School,192,"182 WESTMINSTER ROAD, PUTNEY, VT, 05346","elementary, middle"
PS359,Randolph Elementary School,346,"40 AYERS BROOK RD, RANDOLPH, VT, 05060",elementary
PS237,Randolph Union High School,393,"15 FOREST STREET, RANDOLPH, VT, 05060","middle, high"
PS239,Reading Elementary School,53,"632 VT RTE 106, READING, VT, 05062",elementary
PS240,Readsboro Elementary School,45,"301 PHELPS LANE, READSBORO, VT, 05350","elementary, middle"
PS241,Richford Elementary School,195,"1 ELEMENTARY SCHOOL ROAD, RICHFORD, VT, 05476",elementary
PS242,Richford Junior/Senior High School,233,"1 CORLISS HEIGHTS, RICHFORD, VT, 05476","elementary, middle, high"
PS243,Richmond Elementary School,312,"125 SCHOOL STREET, RICHMOND, VT, 05477",elementary
PS271,Rick Marcotte Central School,428,"10 MARKET STREET, SO BURLINGTON, VT, 05403",elementary
PS244,Ripton Elementary School,55,"753 RIPTON LINCOLN ROAD, RIPTON, VT, 05766",elementary
PI004,Rivendell Academy,201,,"middle, high"
PS245,Riverside Middle School,257,"13 FAIRGROUND ROAD, SPRINGFIELD, VT, 05156","elementary, middle"
PS246,Robinson School,154,"41 PARSONAGE ROAD, STARKSBORO, VT, 05487",elementary
PS247,Rochester School,93,"222 SOUTH MAIN STREET, ROCHESTER, VT, 05767",elementary
PS249,Rockingham Central Elementary,231,"50 SCHOOL STREET EXTENSION, BELLOWS FALLS, VT, 05101",elementary
PS250,Roxbury Village School,43,"1559 ROXBURY ROAD, ROXBURY, VT, 05669",elementary
PS181,Rumney School (Middlesex),177,"433 SHADY RILL ROAD, MIDDLESEX, VT, 05602",elementary
PS253,Rutland High School,819,"22 STRATTON ROAD, RUTLAND, VT, 05701",high
