org_id,org_name,students,address,grades
PS399,Westshire School,105,"744 VT RT 113, WEST FAIRLEE, VT, 05083",elementary
PS336,Weybridge Elementary School,62,"210 QUAKER VILLAGE ROAD, MIDDLEBURY, VT, 05753",elementary
PS339,White River School,235,"102 PINE STREET, WHITE RIVER JCT, VT, 05001",elementary
PS417,White River Valley High School,180,"223 SOUTH WINDSOR STREET, SOUTH ROYALTON, VT, 05068",high
PS416,White River Valley Middle School,119,"273 PLEASANT ST, BETHEL, VT, 05032","elementary, middle"
PS343,Williamstown Elementary School,234,"100 BRUSH HILL ROAD, WILLIAMSTOWN, VT, 05679",elementary
PS344,Williamstown Middle/High School,267,"120 HEBERT ROAD, WILLIAMSTOWN, VT, 05679","elementary, middle, high"
PS398,Williston Schools,1091,"195 CENTRAL SCHOOL DRIVE, WILLISTON, VT, 05495","elementary, middle"
PS347,Windham Elementary School,23,"5940 WINDHAM ROAD, WEST TOWNSHEND, VT, 05359",elementary
PS410,Windsor School,563,"127 STATE ST, WINDSOR, VT, 05089","elementary, middle, high"
PS351,Winooski High School,211,"60 NORMAND STREET, WINOOSKI, VT, 05404",high
PS401,Winooski Middle School,168,"80 NORMAND STREET, WINOOSKI, VT, 05404","elementary, middle"
PS352,Wolcott Elementary School,143,"PO BOX 179, WOLCOTT, VT, 05680",elementary
PS353,Woodbury Elementary School,55,"SCHOOL STREET, WOODBURY, VT, 05681",elementary
PS354,Woodford Hollow School,23,"995 VT ROUTE 9, BENNINGTON, VT, 05201",elementary
PS355,Woodstock Elementary School,233,"15 SOUTH STREET, WOODSTOCK, VT, 05091",elementary
PS356,Woodstock Union Middle/High School,501,"4961 WOODSTOCK ROAD, WOODSTOCK, VT, 05091","middle, high"
