days,Afghanistan,Albania,Algeria,Angola,Argentina,Armenia,Australia,Austria,Azerbaijan,Bahrain,Bangladesh,Belarus,Belgium,Benin,Bolivia,Bosnia and Herzegovina,Brazil,Bulgaria,Burkina Faso,Cabo Verde,Cameroon,Canada,Central African Republic,Chile,China,Colombia,Congo (Brazzaville),Congo (Kinshasa),Costa Rica,Cote d'Ivoire,Croatia,Cuba,Cyprus,Czechia,Denmark,Djibouti,Dominican Republic,Ecuador,Egypt,El Salvador,Equatorial Guinea,Estonia,Eswatini,Ethiopia,Europe,Finland,France,Gabon,Georgia,Germany,Ghana,Greece,Guatemala,Guinea,Guinea-Bissau,Haiti,Honduras,Hong Kong,Hungary,Iceland,India,Indonesia,Iran,Iraq,Ireland,Israel,Italy,Japan,Jordan,Kazakhstan,Kenya,South Korea,Kosovo,Kuwait,Kyrgyzstan,Latvia,Lebanon,Liberia,Libya,Lithuania,Luxembourg,Madagascar,Malawi,Malaysia,Maldives,Mali,Mauritania,Mexico,Moldova,Montenegro,Morocco,Mozambique,Namibia,Nepal,Netherlands,New Zealand,Nicaragua,Niger,Nigeria,North Macedonia,Norway,Oman,Pakistan,Panama,Paraguay,Peru,Philippines,Poland,Portugal,Qatar,Romania,Russia,Rwanda,Saudi Arabia,Senegal,Serbia,Sierra Leone,Singapore,Slovakia,Slovenia,Somalia,South Africa,South Sudan,Spain,Sri Lanka,Sudan,Suriname,Sweden,Switzerland,Tajikistan,Thailand,Tunisia,Turkey,Uganda,Ukraine,United Arab Emirates,United Kingdom,Uruguay,US,Uzbekistan,Venezuela,West Bank and Gaza,Yemen,Zambia,Zimbabwe,doubles every day,doubles every 2 days,doubles every 3 days,doubles every week,doubles every month
day 20,834,435.14285714285717,1576.4285714285713,257.2857142857143,1652.7142857142858,859.5714285714286,3908.4285714285716,7444.857142857143,1146.857142857143,485.7142857142857,5062.285714285715,4287.857142857143,6634,172.14285714285714,564.5714285714286,902.7142857142857,7960.285714285715,572.2857142857143,490.57142857142856,321.2857142857143,934.5714285714286,7615.285714285715,687.1428571428571,3909,36472.57142857143,1857.142857142857,247.42857142857142,334.14285714285717,531.5714285714286,659.8571428571429,1293.857142857143,873.1428571428571,613,3316.285714285714,2401.285714285714,1043.2857142857142,2370,3912.5714285714284,891.1428571428571,372.57142857142856,471.42857142857144,884.8571428571429,223.28571428571428,198.71428571428572,26663.428571428572,1393.7142857142858,13056.57142857143,515.2857142857143,373.7142857142857,18984.85714285714,645.7142857142857,1238.2857142857142,547.5714285714286,917.1428571428571,992,961.1428571428571,442.85714285714283,315.14285714285717,1049.4285714285713,1158.142857142857,2850.4285714285716,1976.7142857142858,13803.857142857143,783.2857142857143,3901.714285714286,5470.857142857143,18466.85714285714,639.2857142857143,373.7142857142857,1197.4285714285713,307,7564.142857142857,517.8571428571429,437.85714285714283,564.2857142857143,592.7142857142857,516.7142857142857,206.71428571428572,479,983.8571428571429,2680.5714285714284,135.57142857142858,532.7142857142857,2310,913.4285714285714,513,1030.2857142857142,2509.5714285714284,1538.4285714285713,308.7142857142857,1464.2857142857142,263.14285714285717,969,942.5714285714286,6704.714285714285,1298.4285714285713,1167.4285714285713,664.4285714285714,507,718.8571428571429,3156,811.8571428571429,3000.1428571428573,2155.8571428571427,224.57142857142858,2413.285714285714,2863.714285714286,3333.714285714286,8215.42857142857,663.4285714285714,3165.714285714286,5761.285714285715,182.28571428571428,2056.1428571428573,305.57142857142856,2402.4285714285716,492.14285714285717,386.42857142857144,595.5714285714286,848.1428571428571,862.7142857142857,1708.4285714285713,940.2857142857143,25920.85714285714,225.42857142857142,1367.857142857143,413.7142857142857,2592.5714285714284,9765.285714285714,2534.8571428571427,1961.5714285714287,708.4285714285714,30965.428571428572,256.85714285714283,2803,1812.2857142857142,8056.857142857143,452.7142857142857,46739,1324.857142857143,198.71428571428572,305.2857142857143,437.14285714285717,797.5714285714286,389.14285714285717,NA,102400.00000000013,10159.36673259648,724.5789314111242,157.73055882544563
day 21,885.5714285714286,448.57142857142856,1661.2857142857142,272,1727.5714285714287,887.7142857142857,4237.857142857143,8144.428571428572,1196.7142857142858,507.14285714285717,5538.142857142857,4765.714285714285,7799.142857142857,182.85714285714286,613.4285714285714,948.2857142857143,9043.42857142857,594.8571428571429,505.2857142857143,329.85714285714283,983.5714285714286,8723.142857142857,745.7142857142857,4261.285714285715,38942.57142857143,2043.2857142857142,253.85714285714286,349.42857142857144,552.2857142857143,698.8571428571429,1352.142857142857,924.7142857142857,640,3579.285714285714,2605.285714285714,1057.2857142857142,2561.285714285714,4454.428571428572,986.2857142857143,400,493.57142857142856,941,230.57142857142858,215.28571428571428,33005,1495.857142857143,15186.142857142857,577.4285714285714,389.42857142857144,22374.714285714286,713.7142857142857,1330.7142857142858,578.2857142857143,996,1020,1044.857142857143,455.2857142857143,350.14285714285717,1151.4285714285713,1223,3409.5714285714284,2149.5714285714284,14994.142857142857,840.5714285714286,4252.285714285715,6075.428571428572,21517.85714285714,686,380,1304.5714285714287,319.14285714285717,7713.428571428572,547.4285714285714,502.7142857142857,589.4285714285714,608.8571428571429,530.5714285714286,209.57142857142858,497,1011,2782.714285714286,138.85714285714286,548.5714285714286,2468.8571428571427,954.5714285714286,539.8571428571429,1123.857142857143,2817.5714285714284,1663.4285714285713,310.57142857142856,1564.857142857143,280.14285714285717,1035,1081,7663.714285714285,1323.5714285714287,1216.857142857143,671.2857142857143,548.7142857142857,763,3427.285714285714,902.4285714285714,3306.5714285714284,2341.714285714286,228.28571428571428,2962.1428571428573,3103.714285714286,3696.1428571428573,8974.857142857143,720.5714285714286,3476,6701.714285714285,192.57142857142858,2232.1428571428573,315.85714285714283,2653.285714285714,517.4285714285714,428.14285714285717,632.2857142857143,886.2857142857143,910.1428571428571,1779.5714285714287,967.1428571428571,31007.285714285714,233.42857142857142,1494.7142857142858,441.7142857142857,2844.8571428571427,10836.857142857143,2724.8571428571427,2048.285714285714,734,34695.142857142855,287.57142857142856,3127.1428571428573,2093.1428571428573,9580.285714285714,463.2857142857143,58567.142857142855,1414.7142857142858,209.42857142857142,311.7142857142857,457.42857142857144,832,408.57142857142856,NA,144815.46878700514,12800.000000000005,799.9999999999986,161.36585152683313
day 22,939.5714285714286,464.14285714285717,1741.2857142857142,288.57142857142856,1826.2857142857142,915,4550.285714285715,8876.285714285714,1241.7142857142858,533.5714285714286,6035.428571428572,5257.428571428572,9014.285714285714,195.57142857142858,666.7142857142857,992,10231.57142857143,615.4285714285714,521.5714285714286,335.7142857142857,1028.5714285714287,9780.57142857143,803.8571428571429,4633.142857142857,43125.28571428572,2227.714285714286,260.2857142857143,365,571.5714285714286,730.4285714285714,1411.857142857143,977.7142857142857,664.4285714285714,3832.1428571428573,2826.714285714286,1072.142857142857,2751.285714285714,4996.142857142857,1092,433.14285714285717,515.7142857142857,998.7142857142857,238.14285714285714,229.71428571428572,40502.857142857145,1594,17539.85714285714,644,400.42857142857144,25945.571428571428,781.7142857142857,1418.142857142857,607.2857142857143,1080.2857142857142,1048.7142857142858,1155.142857142857,468.2857142857143,387.7142857142857,1250.7142857142858,1289.5714285714287,3969.285714285714,2332.285714285714,16177,901.7142857142857,4605.714285714285,6673,24839.428571428572,731.1428571428571,386.14285714285717,1408.142857142857,330.85714285714283,7834.571428571428,578.8571428571429,579.5714285714286,612.1428571428571,624.4285714285714,543.1428571428571,213,513.7142857142857,1036.5714285714287,2872.4285714285716,143.14285714285714,568.4285714285714,2623.8571428571427,991.5714285714286,561.1428571428571,1222.2857142857142,3150.285714285714,1787,312.85714285714283,1671.857142857143,297.2857142857143,1104,1242.2857142857142,8671.285714285714,1346.7142857142858,1266.2857142857142,678.8571428571429,615.2857142857143,814,3687.8571428571427,997.7142857142857,3602,2546.4285714285716,235.85714285714286,3576.714285714286,3326.4285714285716,4074.8571428571427,9735.142857142857,793.8571428571429,3804.714285714286,7811.428571428572,205.28571428571428,2405.285714285714,328.2857142857143,2899.285714285714,540.1428571428571,473.57142857142856,669,924.1428571428571,957.7142857142857,1842.857142857143,994,36696.28571428572,242.14285714285714,1616.5714285714287,467.14285714285717,3128,11887.57142857143,2908.285714285714,2133.714285714286,761.5714285714286,38728.42857142857,318.85714285714283,3478.4285714285716,2392.5714285714284,11348.285714285714,473,72316.28571428571,1488,219,318,475.2857142857143,855.8571428571429,426.14285714285717,NA,204800.00000000032,16126.989438654382,883.2716109390484,165.08492858252185
day 23,995.5714285714286,481.7142857142857,1827.2857142857142,301,1919.7142857142858,944.4285714285714,4823.142857142857,9479.142857142857,1284.5714285714287,563,6542.428571428572,5765,10303.857142857143,208.28571428571428,728.1428571428571,1036.142857142857,11565,634.8571428571429,533.1428571428571,340.85714285714283,1073.5714285714287,11134.285714285714,863.4285714285714,5012.571428571428,47727.71428571428,2409.5714285714284,274.14285714285717,381.42857142857144,589.2857142857143,770.1428571428571,1473,1031.2857142857142,686.5714285714286,4092.285714285714,3076.1428571428573,1084.857142857143,2966,5541.857142857143,1203.5714285714287,467.7142857142857,537.8571428571429,1056.7142857142858,246,241.28571428571428,49131.71428571428,1711.7142857142858,20194.285714285714,730.7142857142857,411,30033.85714285714,839.7142857142857,1500.857142857143,635.8571428571429,1170.7142857142858,1069.4285714285713,1298,481.57142857142856,428.85714285714283,1348.4285714285713,1357.5714285714287,4566.714285714285,2547,17302.85714285714,969.4285714285714,4981,7274.285714285715,28542.571428571428,775.1428571428571,390.42857142857144,1516.857142857143,342,7942.857142857143,610.7142857142857,660.7142857142857,630.4285714285714,637.1428571428571,557.5714285714286,216.85714285714286,532,1061.2857142857142,2959.714285714286,152.42857142857142,581.4285714285714,2791.285714285714,1021.4285714285714,584,1327.2857142857142,3510,1905,314.7142857142857,1801.7142857142858,320.85714285714283,1175.7142857142858,1431.857142857143,9683.714285714286,1364.7142857142858,1315.7142857142858,686.2857142857143,692.2857142857143,873.7142857142857,3941.8571428571427,1095.2857142857142,3889,2748.1428571428573,251.57142857142858,4305.571428571428,3532.5714285714284,4450.428571428572,10449.285714285714,898.8571428571429,4156.714285714285,9076.142857142857,215.71428571428572,2605.5714285714284,340.57142857142856,3164.1428571428573,562.8571428571429,521.8571428571429,702.5714285714286,960.8571428571429,1005.5714285714286,1916.857142857143,994,43169,254.57142857142858,1777.2857142857142,492,3435,12905.714285714286,3081.5714285714284,2212,787.1428571428571,42998,352.42857142857144,3849.1428571428573,2711.285714285714,13410.714285714286,482.7142857142857,87665.42857142857,1547.142857142857,232.71428571428572,324,495.42857142857144,878.5714285714286,441.2857142857143,NA,289630.93757401034,20318.733465192963,975.2109233635786,168.8897210111676
day 24,1058.2857142857142,498.14285714285717,1911.2857142857142,312.2857142857143,2012.4285714285713,975,5066.428571428572,10031.57142857143,1325.7142857142858,593.2857142857143,7084.142857142857,6310.428571428572,11605.714285714286,214.14285714285714,792.4285714285714,1080.857142857143,13000.42857142857,654.2857142857143,544.4285714285714,347,1121.857142857143,12443.57142857143,920.2857142857143,5420,52237.57142857143,2580.8571428571427,288,399.57142857142856,604,815,1533.2857142857142,1084.5714285714287,707.2857142857143,4336.428571428572,3348,1096.4285714285713,3166.8571428571427,6082.142857142857,1322.7142857142858,504.2857142857143,577.8571428571429,1106.5714285714287,254.42857142857142,254.57142857142858,58987.857142857145,1838.857142857143,23143.428571428572,816.4285714285714,420.7142857142857,34465.71428571428,913.7142857142857,1578.4285714285713,669.1428571428571,1254,1087.142857142857,1477.857142857143,502.85714285714283,475.14285714285717,1444.4285714285713,1422,5285.428571428572,2765,18402.85714285714,1035.142857142857,5370.285714285715,7830,32737,816.2857142857143,395.42857142857144,1625.857142857143,353.57142857142856,8058.142857142857,642.2857142857143,743,648.5714285714286,649.4285714285714,571.7142857142857,219.42857142857142,554.1428571428571,1082.7142857142858,3037,161.14285714285714,607.5714285714286,2957.4285714285716,1055.5714285714287,606.8571428571429,1432.142857142857,3877.8571428571427,2021.857142857143,316.57142857142856,1961.142857142857,345.14285714285717,1238.857142857143,1633.857142857143,10720.57142857143,1380.4285714285713,1365.142857142857,693.5714285714286,778.2857142857143,931.7142857142857,4196,1194.5714285714287,4202.285714285715,2944.1428571428573,271.85714285714283,5053.857142857143,3700.714285714286,4817.857142857143,11147.857142857143,1037.4285714285713,4483,10559.142857142857,226,2835.8571428571427,356.7142857142857,3452.4285714285716,591.7142857142857,571.4285714285714,738.8571428571429,996.5714285714286,1055,2000.5714285714287,994,50006.28571428572,265.57142857142856,1909.2857142857142,516.5714285714286,3780.8571428571427,13866.857142857143,3243.714285714286,2282.714285714286,811.7142857142857,47402.57142857143,386.14285714285717,4230.857142857143,3043.285714285714,15757.57142857143,488,104645,1605.5714285714287,245.71428571428572,328.7142857142857,515.1428571428571,899.7142857142857,459.14285714285717,NA,409600.00000000064,25600.00000000001,1076.7201541058828,172.78220433654985
day 25,1121.857142857143,514.7142857142857,1997.2857142857142,322.2857142857143,2116.4285714285716,1007.8571428571429,5271.571428571428,10533,1366.142857142857,622,7661.142857142857,6881,12960.857142857143,221.57142857142858,857.4285714285714,1126.857142857143,14512.142857142857,676.2857142857143,556.4285714285714,354.42857142857144,1183.857142857143,13778.57142857143,987.5714285714286,5850.142857142857,56617,2731,297.85714285714283,416.85714285714283,617,865,1590.142857142857,1136.2857142857142,726.4285714285714,4594.142857142857,3633.285714285714,1103.2857142857142,3382,6633,1438.2857142857142,547.1428571428571,633,1149,262.14285714285717,268.2857142857143,71066.14285714286,1987.5714285714287,26520.85714285714,900.5714285714286,433.85714285714283,39534.57142857143,987,1652.4285714285713,703.5714285714286,1338.2857142857142,1108,1659,527.1428571428571,521.7142857142857,1526.2857142857142,1478.5714285714287,6051.714285714285,3015,19554,1100.7142857142858,5915.428571428572,8303.142857142857,37368.57142857143,855.1428571428571,400,1745.857142857143,364.42857142857144,8152.142857142857,671.1428571428571,839.4285714285714,665.4285714285714,659.4285714285714,586.4285714285714,222.57142857142858,578.4285714285714,1113.142857142857,3105.1428571428573,169.42857142857142,635.2857142857143,3127.714285714286,1088.5714285714287,628,1544,4251.285714285715,2137.5714285714284,317.85714285714283,2124,370.7142857142857,1308.857142857143,1861.2857142857142,11766.285714285714,1394.857142857143,1414.5714285714287,700.4285714285714,869.7142857142857,990.2857142857143,4450,1295.142857142857,4498.428571428572,3133.4285714285716,295.85714285714283,6085.714285714285,3891.285714285714,5207.714285714285,11851,1200.142857142857,4822.571428571428,12271.285714285714,235.71428571428572,3100.714285714286,375,3767.714285714286,622.5714285714286,624.2857142857143,764.7142857142857,1029,1105.857142857143,2095.714285714286,994,57340.857142857145,278.7142857142857,2061.4285714285716,530.5714285714286,4170.571428571428,14848.42857142857,3396.4285714285716,2347.1428571428573,834.2857142857143,51831.42857142857,418.42857142857144,4603.428571428572,3392.5714285714284,18337,492.14285714285717,123875.28571428571,1662.5714285714287,261,332.85714285714283,538.4285714285714,931.8571428571429,478.2857142857143,NA,579261.8751480207,32253.97887730877,1188.7954313095565,176.76439961330288
day 26,1197.5714285714287,531.4285714285714,2091.1428571428573,336.85714285714283,2227.285714285714,1041.857142857143,5462.428571428572,10999.142857142857,1404,656.4285714285714,8265.42857142857,7494.285714285715,14289,226.71428571428572,929,1166.2857142857142,15993.142857142857,702.2857142857143,566.7142857142857,363.2857142857143,1255.4285714285713,15147.285714285714,1063.7142857142858,6276.857142857143,60911,2875.285714285714,316,435.7142857142857,628.1428571428571,920.5714285714286,1645,1186.4285714285713,742.1428571428571,4838.571428571428,3936.1428571428573,1110,3607.1428571428573,7119.857142857143,1562.4285714285713,592.5714285714286,685.5714285714286,1186.857142857143,268.57142857142856,279.42857142857144,84428.28571428571,2142.8571428571427,30015.85714285714,994.7142857142857,447.42857142857144,44852,1078.142857142857,1719.4285714285713,736.8571428571429,1422.5714285714287,1128,1809.2857142857142,549.2857142857143,568.5714285714286,1601.142857142857,1525.5714285714287,6854.142857142857,3296.1428571428573,20788.571428571428,1163.5714285714287,6533.142857142857,8747.57142857143,42281.57142857143,896.4285714285714,404,1872.5714285714287,375.14285714285717,8251.57142857143,697.1428571428571,936.2857142857143,682.1428571428571,671.1428571428571,599.4285714285714,226.14285714285714,605.2857142857143,1148.142857142857,3169.285714285714,175.71428571428572,669.4285714285714,3294.4285714285716,1122,648.1428571428571,1671.857142857143,4632.142857142857,2257,319,2294.5714285714284,391.57142857142856,1386,2104.1428571428573,12791.142857142857,1407.857142857143,1464,707.1428571428571,962,1044.4285714285713,4680.714285714285,1394.7142857142858,4745.571428571428,3308.1428571428573,322.57142857142856,7135.571428571428,4091.5714285714284,5575.142857142857,12649,1382.4285714285713,5170.571428571428,14214.857142857143,243.42857142857142,3395,395.57142857142856,4117.857142857143,654,679.8571428571429,804.1428571428571,1061.2857142857142,1156.7142857142858,2190.1428571428573,994,64886.57142857143,297.2857142857143,2213.8571428571427,545.4285714285714,4608,15850.714285714286,3539.4285714285716,2401.714285714286,853.8571428571429,56283.71428571428,447.7142857142857,4996.714285714285,3760.285714285714,21131.14285714286,494.14285714285717,145039.57142857142,1715.7142857142858,277.2857142857143,336.14285714285717,570.2857142857143,959.1428571428571,496.7142857142857,NA,819200.0000000014,40637.46693038593,1312.536569612218,180.8383744762875
day 27,1274,550.5714285714286,2192.4285714285716,350.42857142857144,2326.4285714285716,1079.5714285714287,5626.428571428572,11381.857142857143,1441.857142857143,691.2857142857143,8903.57142857143,8159.428571428572,15554,231.57142857142858,995.2857142857143,1205.142857142857,17573.428571428572,732.4285714285714,576.2857142857143,371.14285714285717,1341.7142857142858,16485.85714285714,1146.142857142857,6699,65169.857142857145,3013.285714285714,332.7142857142857,463.57142857142856,637.4285714285714,960,1690.5714285714287,1234.142857142857,754.8571428571429,5073,4254.285714285715,1116.2857142857142,3851.8571428571427,7585.571428571428,1689.857142857143,640.8571428571429,731.2857142857143,1217.142857142857,273.57142857142856,294,99745.28571428571,2307.714285714286,33594,1088.857142857143,462.14285714285717,50256.142857142855,1141.7142857142858,1778.142857142857,773.4285714285714,1500.7142857142858,1143.142857142857,1978.857142857143,575.5714285714286,619.2857142857143,1673.4285714285713,1570,7664.857142857143,3591.285714285714,22168,1219.4285714285713,7199,9173.285714285714,47416.857142857145,934.1428571428571,408.85714285714283,2006.2857142857142,388.2857142857143,8347.714285714286,723.7142857142857,1027,698.5714285714286,682,612.7142857142857,229.71428571428572,632.8571428571429,1185.857142857143,3217.4285714285716,181,722.1428571428571,3465.4285714285716,1156.7142857142858,667,1806.142857142857,5040.142857142857,2354.1428571428573,320,2477.8571428571427,413.85714285714283,1455.142857142857,2366.1428571428573,13778,1419.142857142857,1515.2857142857142,714.5714285714286,1058,1097.4285714285713,4900,1497.7142857142858,5003,3488.714285714286,350,8154.571428571428,4273.285714285715,5935.285714285715,13429.42857142857,1578.857142857143,5538.571428571428,16474.571428571428,250.42857142857142,3727.714285714286,424.57142857142856,4487.142857142857,684.2857142857143,732.7142857142857,851.8571428571429,1091.4285714285713,1208.142857142857,2286,1040.142857142857,72892,322.42857142857144,2343.8571428571427,561.5714285714286,5036,16804.714285714286,3669.8571428571427,2453,872.2857142857143,60842.42857142857,480.2857142857143,5400.714285714285,4146.857142857143,24207.85714285714,496.42857142857144,167970.85714285713,1759.142857142857,291,338,605.1428571428571,978.7142857142857,509.2857142857143,NA,NA,51200.00000000002,1449.1578628222476,185.00624421414818
day 28,1370.7142857142858,570.5714285714286,2294.5714285714284,362,2438.285714285714,1119.7142857142858,5768.142857142857,11733.142857142857,1477.857142857143,727.5714285714286,9563,8877.285714285714,16827.571428571428,238.85714285714286,1055.5714285714287,1242.142857142857,19183.285714285714,763.4285714285714,586.2857142857143,377,1419.142857142857,17860.428571428572,1233,7134.142857142857,69433.71428571429,3143.5714285714284,349.42857142857144,493.57142857142856,644.5714285714286,1003.2857142857143,1733.142857142857,1277.2857142857142,765.5714285714286,5267.142857142857,4583.857142857143,1121.7142857142858,4108.571428571428,7769.714285714285,1813.857142857143,697.8571428571429,783.5714285714286,1249.142857142857,278.85714285714283,308.85714285714283,116706.57142857143,2453.8571428571427,37909,1178.857142857143,476.57142857142856,55802.142857142855,1214.2857142857142,1835,813.2857142857143,1582.2857142857142,1155.4285714285713,2167.4285714285716,605.2857142857143,669.1428571428571,1748.5714285714287,1608.857142857143,8547.142857142857,3891.4285714285716,23739.285714285714,1269,7953.714285714285,9586.42857142857,52798.28571428572,973.8571428571429,413.2857142857143,2147.1428571428573,404,8449.57142857143,747.8571428571429,1114.4285714285713,711.5714285714286,694,624.4285714285714,234,659,1225.857142857143,3265.8571428571427,186,774.7142857142857,3638.4285714285716,1190.2857142857142,683.8571428571429,1946.857142857143,5473.142857142857,2458.285714285714,320.85714285714283,2666.5714285714284,433.42857142857144,1530.5714285714287,2634.1428571428573,14781.285714285714,1428.4285714285713,1566.5714285714287,722.2857142857143,1181.857142857143,1143.5714285714287,5100.428571428572,1601.2857142857142,5305.857142857143,3665.285714285714,378.7142857142857,9188.142857142857,4481.714285714285,6271.571428571428,14187.57142857143,1782.7142857142858,5890.285714285715,19018.428571428572,256.57142857142856,4095.4285714285716,462.2857142857143,4860.571428571428,716.7142857142857,785.2857142857143,903.4285714285714,1121.142857142857,1260.5714285714287,2397.4285714285716,1127.2857142857142,80692.42857142857,351.85714285714283,2532.4285714285716,578.5714285714286,5483.142857142857,17723.14285714286,3789,2503.714285714286,886,65344.857142857145,506,5830.571428571428,4551.857142857143,27592,503.2857142857143,192866.7142857143,1798.7142857142858,300.85714285714283,340,654.8571428571429,998.2857142857143,521,NA,NA,64507.95775461754,1599.9999999999964,189.27017286761284
day 29,1475.857142857143,591.2857142857143,2399.5714285714284,380.57142857142856,2537.8571428571427,1159.4285714285713,5894.571428571428,12051.857142857143,1512.7142857142858,762.4285714285714,10242.714285714286,9660.857142857143,18173.14285714286,244.14285714285714,1141.857142857143,1279,20787.285714285714,794.7142857142857,596.5714285714286,381.85714285714283,1496.5714285714287,19337.285714285714,1322,7558.714285714285,71600.42857142857,3288.714285714286,366.14285714285717,530.4285714285714,651.8571428571429,1048.5714285714287,1771.857142857143,1320.142857142857,774.1428571428571,5467.714285714285,4906.285714285715,1132.7142857142858,4359.714285714285,8021.857142857143,1942.4285714285713,755.4285714285714,835.8571428571429,1281.142857142857,283.57142857142856,326.85714285714283,135967.14285714287,2603.4285714285716,42501.71428571428,1270.142857142857,492.85714285714283,61594.857142857145,1286.857142857143,1893.2857142857142,863.1428571428571,1654.4285714285713,1175.7142857142858,2332.5714285714284,637.8571428571429,715.7142857142857,1832.2857142857142,1639.5714285714287,9462.285714285714,4202.857142857143,25551.85714285714,1308.7142857142858,8778,9974.285714285714,58323,1016.8571428571429,418.14285714285717,2295.8571428571427,422.14285714285717,8563.714285714286,767.4285714285714,1193,726.4285714285714,707,636,238.57142857142858,686.2857142857143,1265.7142857142858,3312.8571428571427,193.71428571428572,829.7142857142857,3797.285714285714,1229.857142857143,702,2096.714285714286,5941.428571428572,2568.5714285714284,321.2857142857143,2869.714285714286,455.57142857142856,1601.857142857143,2912.8571428571427,15796.857142857143,1436.2857142857142,1617.857142857143,730,1304,1184.2857142857142,5303.285714285715,1705.857142857143,5653,3813.714285714286,406.7142857142857,10272.714285714286,4707.857142857143,6611.142857142857,14931,1988,6241,21888.571428571428,260.57142857142856,4514,505.7142857142857,5244.571428571428,748.5714285714286,838,963.2857142857143,1148.4285714285713,1312.857142857143,2541.1428571428573,1214.4285714285713,88446.57142857143,387.85714285714283,2734.4285714285716,597.1428571428571,5937.142857142857,18619,3898.5714285714284,2542.8571428571427,894.2857142857143,69653.71428571429,534.4285714285714,6257,4972.142857142857,31298.571428571428,510.7142857142857,219671,1836,311.2857142857143,341.2857142857143,706.4285714285714,1017.8571428571429,533.5714285714286,NA,NA,81274.93386077187,1766.5432218780957,193.63237435310572
day 30,1584.857142857143,611.1428571428571,2505.4285714285716,397.14285714285717,2642.5714285714284,1202.2857142857142,6002.142857142857,12354,1548,798.5714285714286,10942.142857142857,10503.714285714286,19521.571428571428,249.42857142857142,1233.857142857143,1314.142857142857,22523,829.5714285714286,605.7142857142857,388,1592.142857142857,20557.714285714286,1433.5714285714287,7998.714285714285,72911.85714285714,3449.4285714285716,377.42857142857144,563.5714285714286,659.7142857142857,1086.7142857142858,1804.857142857143,1359.857142857143,781.8571428571429,5644.428571428572,5201.714285714285,1146.7142857142858,4600.571428571428,8307.857142857143,2077.4285714285716,814.1428571428571,888.1428571428571,1311.857142857143,286.85714285714283,345,157144.14285714287,2730.285714285714,46841.42857142857,1350.5714285714287,510.2857142857143,67431.42857142857,1376.7142857142858,1947.4285714285713,918,1716.142857142857,1196,2505,673.8571428571429,758.7142857142857,1916.4285714285713,1660.857142857143,10420.142857142857,4520.428571428572,27665.85714285714,1339.142857142857,9702.714285714286,10357.42857142857,63973.57142857143,1063.142857142857,423.14285714285717,2436.285714285714,445.14285714285717,8667.285714285714,783.1428571428571,1280.7142857142858,742.5714285714286,720.5714285714286,644.4285714285714,244.14285714285714,715.8571428571429,1304.2857142857142,3349.5714285714284,199,889.4285714285714,3942,1271.142857142857,720.4285714285714,2258.285714285714,6455.714285714285,2689.4285714285716,321.57142857142856,3053.285714285714,476.14285714285717,1680.5714285714287,3196.714285714286,16802.85714285714,1443.7142857142858,1669.142857142857,737.7142857142857,1439.857142857143,1215.5714285714287,5509.714285714285,1797.142857142857,5985.857142857143,3966.1428571428573,439.57142857142856,11354.42857142857,4934.142857142857,6945.857142857143,15646.142857142857,2188.4285714285716,6598.857142857143,25204.14285714286,264,4955.857142857143,557,5612.571428571428,781.5714285714286,890.2857142857143,1021,1171.4285714285713,1360.2857142857142,2681.8571428571427,1301.5714285714287,96086.57142857143,428.42857142857144,2925.714285714286,618.1428571428571,6402.571428571428,19438.285714285714,4002.285714285714,2578.4285714285716,905,73846.57142857143,561.4285714285714,6688.285714285715,5338.714285714285,35262.57142857143,518,247723.57142857142,1876.857142857143,317.57142857142856,342.42857142857144,755.2857142857143,1042,544.7142857142857,NA,NA,102400.00000000007,1950.421846727156,198.09511361225697
